School_Name,School_Type,Website,Phone,Email,State,Country
Wichita Area Technical College,Community College,https://www.watc.edu/,(316) 677-9400,,Kansas,USA
Collin College,Community College,https://www.collin.edu/,(972) 881-5790,,Texas,USA
Austin Community College,Community College,https://www.austincc.edu/,(512) 223-7000,,Texas,USA
El Centro College,Community College,https://www.elcentrocollege.edu/,(214) 860-2037,,Texas,USA
San Jacinto College,Community College,https://www.sanjac.edu/,(281) 998-6150,,Texas,USA
Delgado Community College,Community College,https://www.dcc.edu/,(504) 671-5000,,Louisiana,USA
Bossier Parish Community College,Community College,https://www.bpcc.edu/,(318) 678-6000,,Louisiana,USA
Northwest Mississippi Community College,Community College,https://www.northwestms.edu/,(662) 562-3200,,Mississippi,USA
Arkansas State University Mid-South,Community College,https://www.asumidsouth.edu/,(870) 733-6722,,Arkansas,USA
Ozarka College,Community College,https://www.ozarka.edu/,(870) 368-7371,,Arkansas,USA
Northeast Wisconsin Technical College,Community College,https://www.nwtc.edu/,(920) 498-5444,,Wisconsin,USA
Madison Area Technical College,Community College,https://madisoncollege.edu/,(608) 246-6100,,Wisconsin,USA
Northland Community and Technical College,Community College,https://www.northlandcollege.edu/,(218) 683-8800,,Minnesota,USA
Saint Paul College,Community College,https://www.saintpaul.edu/,(651) 846-1600,,Minnesota,USA
Ivy Tech Community College,Community College,https://www.ivytech.edu/,(888) 489-5463,,Indiana,USA
Macomb Community College,Community College,https://www.macomb.edu/,(586) 445-7999,,Michigan,USA
Grand Rapids Community College,Community College,https://www.grcc.edu/,(616) 234-4000,,Michigan,USA
Gwinnett Technical College,Community College,https://www.gwinnetttech.edu/,(678) 226-6672,,Georgia,USA
Atlanta Technical College,Community College,https://www.atlantatech.edu/,(404) 225-4400,,Georgia,USA
Savannah Technical College,Community College,https://www.savannahtech.edu/,(912) 443-5700,,Georgia,USA
Southwest Tennessee Community College,Community College,https://www.southwest.tn.edu/,(901) 333-5000,,Tennessee,USA
Nashville State Community College,Community College,https://www.nscc.edu/,(615) 353-3333,,Tennessee,USA
Chattanooga State Community College,Community College,https://www.chattanoogastate.edu/,(423) 697-4400,,Tennessee,USA
Horry-Georgetown Technical College,Community College,https://www.hgtc.edu/,(843) 347-3186,,South Carolina,USA
Greenville Technical College,Community College,https://www.gvltec.edu/,(864) 250-8000,,South Carolina,USA
York Technical College,Community College,https://www.yorktech.edu/,(803) 327-8000,,South Carolina,USA
Wake Technical Community College,Community College,https://www.waketech.edu/,(919) 866-5000,,North Carolina,USA
Central Piedmont Community College,Community College,https://www.cpcc.edu/,(704) 330-2722,,North Carolina,USA
Durham Technical Community College,Community College,https://www.durhamtech.edu/,(919) 536-7200,,North Carolina,USA
Lehigh Carbon Community College,Community College,https://www.lccc.edu/,(610) 799-2121,,Pennsylvania,USA
Bucks County Community College,Community College,https://www.bucks.edu/,(215) 968-8000,,Pennsylvania,USA
Harrisburg Area Community College,Community College,https://www.hacc.edu/,(717) 780-2300,,Pennsylvania,USA
Westchester Community College,Community College,https://www.sunywcc.edu/,(914) 606-6600,,New York,USA
Monroe Community College,Community College,https://www.monroecc.edu/,(585) 292-2000,,New York,USA
Onondaga Community College,Community College,https://www.sunyocc.edu/,(315) 498-2622,,New York,USA
Palm Beach State College,Community College,https://www.palmbeachstate.edu/,(561) 967-7222,,Florida,USA
Seminole State College of Florida,Community College,https://www.seminolestate.edu/,(407) 708-2000,,Florida,USA
Gulf Coast State College,Community College,https://www.gulfcoast.edu/,(850) 769-1551,,Florida,USA
Tarrant County College,Community College,https://www.tccd.edu/,(817) 515-8223,,Texas,USA
Alamo Colleges - St. Philip's College,Community College,https://www.alamo.edu/spc/,(210) 486-2000,,Texas,USA
Lone Star College,Community College,https://www.lonestar.edu/,(832) 813-6500,,Texas,USA
Community College of Baltimore County,Community College,https://www.ccbcmd.edu/,(443) 840-2222,,Maryland,USA
Clark College,Community College,https://www.clark.edu/,(360) 992-2000,,Washington,USA
Clackamas Community College,Community College,https://www.clackamas.edu/,(503) 594-6000,,Oregon,USA
Mt. Hood Community College,Community College,https://www.mhcc.edu/,(503) 491-6422,,Oregon,USA
San Joaquin Delta College,Community College,https://www.deltacollege.edu/,(209) 954-5151,,California,USA
College of Marin,Community College,https://www.marin.edu/,(415) 457-8811,,California,USA
Cypress College,Community College,https://www.cypresscollege.edu/,(714) 484-7000,,California,USA
Chaffey College,Community College,https://www.chaffey.edu/,(909) 652-6000,,California,USA
Riverside City College,Community College,https://www.rcc.edu/,(951) 222-8000,,California,USA
Palomar College,Community College,https://www.palomar.edu/,(760) 744-1150,,California,USA
Western Nevada College,Community College,https://www.wnc.edu/,(775) 445-3000,,Nevada,USA
Phoenix College,Community College,https://www.phoenixcollege.edu/,(602) 285-7800,,Arizona,USA
Gateway Community College,Community College,https://www.gatewaycc.edu/,(602) 286-8000,,Arizona,USA
Northern New Mexico College,Community College,https://www.nnmc.edu/,(505) 747-2100,,New Mexico,USA
Dixie State University,Community College,https://www.dixie.edu/,(435) 652-7500,,Utah,USA
Arapahoe Community College,Community College,https://www.arapahoe.edu/,(303) 797-4222,,Colorado,USA
Tulsa Community College,Community College,https://www.tulsacc.edu/,(918) 595-7000,,Oklahoma,USA
Houston Community College,Community College,https://www.hccs.edu/,(713) 718-2000,,Texas,USA
North Lake College,Community College,https://www.northlakecollege.edu/,(972) 273-3000,,Texas,USA
Richland College,Community College,https://www.richlandcollege.edu/,(972) 238-6194,,Texas,USA
South Louisiana Community College,Community College,https://www.solacc.edu/,(337) 521-9000,,Louisiana,USA
Northshore Technical Community College,Community College,https://www.northshorecollege.edu/,(985) 545-1200,,Louisiana,USA
South Suburban College,Community College,https://www.ssc.edu/,(708) 596-2000,,Illinois,USA
Washtenaw Community College,Community College,https://www.wccnet.edu/,(734) 973-3300,,Michigan,USA
New England Culinary Institute,Mid-Market University,https://neci.edu/,877-223-6324,,Vermont,USA
Art Institute,Mid-Market University,https://www.artinstitutes.edu/,(888) 624-0300,,,USA
Stratford University,Mid-Market University,https://www.stratford.edu/,(703) 821-8570,,Virginia,USA
University of Massachusetts Amherst,Mid-Market University,https://www.umass.edu/,(413) 545-0111,,Massachusetts,USA
Temple University,Mid-Market University,https://www.temple.edu/,(215) 204-7000,,Pennsylvania,USA
Kansas State University,Mid-Market University,https://www.k-state.edu/,(785) 532-6250,,Kansas,USA
Ohio State University,Mid-Market University,https://www.osu.edu/,(614) 292-6446,,Ohio,USA
University of Wisconsin-Stout,Mid-Market University,https://www.uwstout.edu/,(715) 232-1122,,Wisconsin,USA
California State Polytechnic University Pomona,Mid-Market University,https://www.cpp.edu/,(909) 869-7659,,California,USA
University of North Texas,Mid-Market University,https://www.unt.edu/,(940) 565-2000,,Texas,USA
University of Delaware,Mid-Market University,https://www.udel.edu/,(302) 831-2000,,Delaware,USA
University of New Hampshire,Mid-Market University,https://www.unh.edu/,(603) 862-1234,,New Hampshire,USA
Oklahoma State University,Mid-Market University,https://www.okstate.edu/,(405) 744-5000,,Oklahoma,USA
Washington State University,Mid-Market University,https://www.wsu.edu/,(509) 335-3564,,Washington,USA
Texas Tech University,Mid-Market University,https://www.ttu.edu/,(806) 742-2011,,Texas,USA
University of Missouri,Mid-Market University,https://www.missouri.edu/,(573) 882-2121,,Missouri,USA
North Carolina State University,Mid-Market University,https://www.ncsu.edu/,(919) 515-2011,,North Carolina,USA
Georgia Southern University,Mid-Market University,https://www.georgiasouthern.edu/,(912) 478-5391,,Georgia,USA
University of Denver,Mid-Market University,https://www.du.edu/,(303) 871-2000,,Colorado,USA
Auburn University,Mid-Market University,https://www.auburn.edu/,(334) 844-4000,,Alabama,USA
University of Alabama,Mid-Market University,https://www.ua.edu/,(205) 348-6010,,Alabama,USA
University of Nebraska-Lincoln,Mid-Market University,https://www.unl.edu/,(402) 472-7211,,Nebraska,USA
University of Memphis,Mid-Market University,https://www.memphis.edu/,(901) 678-2000,,Tennessee,USA
East Carolina University,Mid-Market University,https://www.ecu.edu/,(252) 328-6131,,North Carolina,USA
Middle Tennessee State University,Mid-Market University,https://www.mtsu.edu/,(615) 898-2300,,Tennessee,USA
University of Kentucky,Mid-Market University,https://www.uky.edu/,(859) 257-9000,,Kentucky,USA
University of South Carolina,Mid-Market University,https://www.sc.edu/,(803) 777-7000,,South Carolina,USA
Rochester Institute of Technology,Mid-Market University,https://www.rit.edu/,(585) 475-2411,,New York,USA
Niagara University,Mid-Market University,https://www.niagara.edu/,(716) 285-1212,,New York,USA
Brigham Young University - Hawaii,Mid-Market University,https://www.byuh.edu/,(808) 675-3211,,Hawaii,USA
Hawaii Pacific University,Mid-Market University,https://www.hpu.edu/,(808) 544-0200,,Hawaii,USA
University of Alaska Fairbanks,Mid-Market University,https://www.uaf.edu/,(907) 474-7211,,Alaska,USA
Western Washington University,Mid-Market University,https://www.wwu.edu/,(360) 650-3000,,Washington,USA
University of Portland,Mid-Market University,https://www.up.edu/,(503) 943-7911,,Oregon,USA
Oregon State University,Mid-Market University,https://oregonstate.edu/,(541) 737-1000,,Oregon,USA
University of San Francisco,Mid-Market University,https://www.usfca.edu/,(415) 422-5555,,California,USA
Golden Gate University,Mid-Market University,https://www.ggu.edu/,(415) 442-7000,,California,USA
Chapman University,Mid-Market University,https://www.chapman.edu/,(714) 997-6815,,California,USA
University of Redlands,Mid-Market University,https://www.redlands.edu/,(909) 793-2121,,California,USA
Point Loma Nazarene University,Mid-Market University,https://www.pointloma.edu/,(619) 849-2200,,California,USA
University of Nevada Reno,Mid-Market University,https://www.unr.edu/,(775) 784-1110,,Nevada,USA
Northern Arizona University,Mid-Market University,https://www.nau.edu/,(928) 523-9011,,Arizona,USA
Arizona State University,Mid-Market University,https://www.asu.edu/,(480) 965-2100,,Arizona,USA
University of Arizona,Mid-Market University,https://www.arizona.edu/,(520) 621-2211,,Arizona,USA
Brigham Young University,Mid-Market University,https://www.byu.edu/,(801) 422-4636,,Utah,USA
Utah State University,Mid-Market University,https://www.usu.edu/,(435) 797-1000,,Utah,USA
Weber State University,Mid-Market University,https://www.weber.edu/,(801) 626-6000,,Utah,USA
New Mexico State University,Mid-Market University,https://www.nmsu.edu/,(575) 646-0111,,New Mexico,USA
University of New Mexico,Mid-Market University,https://www.unm.edu/,(505) 277-0111,,New Mexico,USA
Metropolitan State University of Denver,Mid-Market University,https://www.msudenver.edu/,(303) 556-2400,,Colorado,USA
Colorado State University,Mid-Market University,https://www.colostate.edu/,(970) 491-1101,,Colorado,USA
University of Northern Colorado,Mid-Market University,https://www.unco.edu/,(970) 351-1890,,Colorado,USA
Montana State University,Mid-Market University,https://www.montana.edu/,(406) 994-0211,,Montana,USA
University of Montana,Mid-Market University,https://www.umt.edu/,(406) 243-0211,,Montana,USA
University of Wyoming,Mid-Market University,https://www.uwyo.edu/,(307) 766-1121,,Wyoming,USA
University of Alaska - Anchorage Culinary,Top-Tier Culinary School,https://www.uaa.alaska.edu/culinary/,(907) 786-1800,,Alaska,USA
University of Alaska - Fairbanks Hospitality,Mid-Market University,https://www.uaf.edu/,(907) 474-7211,,Alaska,USA
University of Alaska - Southeast,Mid-Market University,https://www.uas.alaska.edu/,(907) 796-6100,,Alaska,USA
Prince William Sound College,Community College,https://www.pwscc.edu/,(907) 834-1600,,Alaska,USA
Kenai Peninsula College,Community College,https://www.kpc.alaska.edu/,(907) 262-0300,,Alaska,USA
Kodiak College,Community College,https://www.koc.alaska.edu/,(907) 486-4161,,Alaska,USA
Ilisagvik College,Community College,https://www.ilisagvik.edu/,(907) 852-3333,,Alaska,USA
University of Hawaii - Maui College Culinary,Top-Tier Culinary School,https://www.maui.hawaii.edu/culinary/,(808) 984-3500,,Hawaii,USA
Kapiolani Community College Culinary,Top-Tier Culinary School,https://www.kapiolani.hawaii.edu/culinary/,(808) 734-9466,,Hawaii,USA
Leeward Community College Culinary,Top-Tier Culinary School,https://www.leeward.hawaii.edu/culinary/,(808) 455-0011,,Hawaii,USA
Kauai Community College Culinary,Top-Tier Culinary School,https://www.kauai.hawaii.edu/culinary/,(808) 245-8311,,Hawaii,USA
Hawaii Community College Culinary,Top-Tier Culinary School,https://www.hawaii.hawaii.edu/culinary/,(808) 934-2500,,Hawaii,USA
Windward Community College,Community College,https://www.windward.hawaii.edu/,(808) 235-7400,,Hawaii,USA
Honolulu Community College,Community College,https://www.honolulu.hawaii.edu/,(808) 845-9211,,Hawaii,USA
University of Hawaii - Hilo Hospitality,Mid-Market University,https://www.hilo.hawaii.edu/,(808) 932-7446,,Hawaii,USA
University of Hawaii - Manoa Hospitality,Mid-Market University,https://www.manoa.hawaii.edu/,(808) 956-8111,,Hawaii,USA
Brigham Young University - Hawaii Hospitality,Mid-Market University,https://www.byuh.edu/,(808) 675-3211,,Hawaii,USA
Chaminade University Hospitality,Mid-Market University,https://www.chaminade.edu/,(808) 735-4711,,Hawaii,USA
Hawaii Pacific University Hospitality,Mid-Market University,https://www.hpu.edu/,(808) 544-0200,,Hawaii,USA
University of Guam,Mid-Market University,https://www.uog.edu/,(671) 735-2201,,,Guam
University of North Dakota,Mid-Market University,https://und.edu/,(701) 777-2011,,North Dakota,USA
South Dakota State University,Mid-Market University,https://www.sdstate.edu/,(605) 688-4121,,South Dakota,USA
Creighton University,Mid-Market University,https://www.creighton.edu/,(402) 280-2700,,Nebraska,USA
University of Kansas,Mid-Market University,https://www.ku.edu/,(785) 864-2700,,Kansas,USA
Wichita State University,Mid-Market University,https://www.wichita.edu/,(316) 978-3456,,Kansas,USA
Texas A&M University,Mid-Market University,https://www.tamu.edu/,(979) 845-3211,,Texas,USA
University of North Texas at Dallas,Mid-Market University,https://www.untdallas.edu/,(972) 338-1777,,Texas,USA
Texas State University,Mid-Market University,https://www.txstate.edu/,(512) 245-2111,,Texas,USA
University of Texas at San Antonio,Mid-Market University,https://www.utsa.edu/,(210) 458-4011,,Texas,USA
Texas Woman's University,Mid-Market University,https://www.twu.edu/,(940) 898-3000,,Texas,USA
Baylor University,Mid-Market University,https://www.baylor.edu/,(254) 710-1011,,Texas,USA
Louisiana Tech University,Mid-Market University,https://www.latech.edu/,(318) 257-0211,,Louisiana,USA
University of Louisiana at Lafayette,Mid-Market University,https://louisiana.edu/,(337) 482-1000,,Louisiana,USA
Tulane University,Mid-Market University,https://tulane.edu/,(504) 865-5000,,Louisiana,USA
University of Southern Mississippi,Mid-Market University,https://www.usm.edu/,(601) 266-1000,,Mississippi,USA
Mississippi State University,Mid-Market University,https://www.msstate.edu/,(662) 325-2323,,Mississippi,USA
University of Arkansas,Mid-Market University,https://www.uark.edu/,(479) 575-2000,,Arkansas,USA
Arkansas Tech University,Mid-Market University,https://www.atu.edu/,(479) 968-0389,,Arkansas,USA
Marquette University,Mid-Market University,https://www.marquette.edu/,(414) 288-7250,,Wisconsin,USA
University of Wisconsin-Madison,Mid-Market University,https://www.wisc.edu/,(608) 262-1234,,Wisconsin,USA
